px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-7.82214	-4.21638	5.17996	4.09544	-0.206222	-7.88049	-4.29783	-7.82094	-4.14538	-3.04381	-4.08479	0.549725
-7.97334	-4.43557	5.18229	4.08839	-0.200667	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778	0.401204
-8.13475	-4.67988	5.24864	4.08688	-0.187472	-8.22492	-4.79812	-8.13095	-4.5493	-3.15376	-3.98906	1.2041
-8.27454	-4.87464	5.04801	4.08252	-0.17345	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862	2.07006
-8.40357	-5.09198	5.05266	4.08548	-0.158133	-8.33552	-5.1059	-8.45204	-4.94331	-3.26514	-3.88641	0.284042
-8.55294	-5.2461	4.88969	4.06328	-0.174828	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242	3.01867
-8.7396	-5.4453	4.93389	4.04315	-0.188489	-8.91477	-5.51752	-8.78433	-5.32669	-3.37745	-3.77663	1.91181
-8.90132	-5.64	4.95279	4.03144	-0.19152	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901	0.26376
-9.05496	-5.82535	4.94077	4.0207	-0.19331	-9.03391	-5.80267	-9.12788	-5.69872	-3.49012	-3.65955	0.051291
-9.19612	-5.97026	4.78487	4.00308	-0.202881	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823	5.07493
-9.36901	-6.0638	4.67288	3.95631	-0.252561	-9.30811	-5.82368	-9.4827	-6.05868	-3.60261	-3.53503	3.61111
-9.5484	-6.24677	4.76575	3.94159	-0.255775	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994	1.28323
-9.68458	-6.4631	4.7979	3.95649	-0.219556	-9.62547	-6.55958	-9.84874	-6.4058	-3.71431	-3.40295	0.849255
-9.91128	-6.62538	4.97494	3.91779	-0.257715	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404	7.12735
-10.1157	-6.79704	5.00267	3.89546	-0.269271	-10.2246	-6.83402	-10.2259	-6.73933	-3.82463	-3.26321	0.712685
